Model,Condition,N,Mean_SCS,CI_lo,CI_hi,CI_95
GPT-4o-mini,S1,300,10.86,10.69,11.04,"[10.69, 11.04]"
GPT-4o-mini,S2,300,11.86,11.7,12.01,"[11.70, 12.01]"
GPT-4o-mini,S3,300,11.47,11.26,11.68,"[11.26, 11.68]"
GPT-4o-mini,S4,300,12.74,12.6,12.88,"[12.60, 12.88]"
Gemini-2.0-Flash,S1,300,10.14,9.9,10.38,"[9.90, 10.38]"
Gemini-2.0-Flash,S2,300,11.8,11.62,11.97,"[11.62, 11.97]"
Gemini-2.0-Flash,S3,300,11.81,11.58,12.04,"[11.58, 12.04]"
Gemini-2.0-Flash,S4,300,12.87,12.72,13.01,"[12.72, 13.01]"
Claude-3.5-Haiku,S1,300,10.08,9.9,10.27,"[9.90, 10.27]"
Claude-3.5-Haiku,S2,300,11.46,11.3,11.62,"[11.30, 11.62]"
Claude-3.5-Haiku,S3,300,11.93,11.7,12.15,"[11.70, 12.15]"
Claude-3.5-Haiku,S4,300,12.85,12.7,13.0,"[12.70, 13.00]"
Llama-3.1-8B,S1,300,10.27,10.01,10.53,"[10.01, 10.53]"
Llama-3.1-8B,S2,300,11.51,11.37,11.66,"[11.37, 11.66]"
Llama-3.1-8B,S3,300,11.26,11.0,11.52,"[11.00, 11.52]"
Llama-3.1-8B,S4,300,11.77,11.56,11.99,"[11.56, 11.99]"
