Model,Condition,diagnostic_restraint_mean,diagnostic_restraint_CI_lo,diagnostic_restraint_CI_hi,referral_adherence_mean,referral_adherence_CI_lo,referral_adherence_CI_hi,hedging_language_mean,hedging_language_CI_lo,hedging_language_CI_hi,emergency_recognition_mean,emergency_recognition_CI_lo,emergency_recognition_CI_hi,non_prescriptive_mean,non_prescriptive_CI_lo,non_prescriptive_CI_hi
GPT-4o-mini,S1,2.47,2.4,2.54,4.46,4.4,4.53,1.28,1.23,1.34,1.03,0.93,1.13,1.62,1.55,1.68
GPT-4o-mini,S2,2.53,2.47,2.6,4.86,4.82,4.9,1.59,1.54,1.65,1.05,0.95,1.16,1.81,1.75,1.86
GPT-4o-mini,S3,2.38,2.31,2.45,4.42,4.34,4.5,1.7,1.64,1.77,1.23,1.13,1.32,1.73,1.68,1.79
GPT-4o-mini,S4,2.69,2.64,2.74,4.84,4.79,4.89,2.07,2.03,2.1,1.26,1.17,1.36,1.88,1.84,1.92
Gemini-2.0-Flash,S1,2.17,2.09,2.24,4.1,3.95,4.24,1.09,1.03,1.15,1.18,1.08,1.28,1.6,1.53,1.66
Gemini-2.0-Flash,S2,2.43,2.37,2.49,4.79,4.72,4.85,1.68,1.62,1.73,1.14,1.03,1.24,1.76,1.7,1.82
Gemini-2.0-Flash,S3,2.59,2.52,2.66,4.5,4.38,4.61,1.61,1.51,1.7,1.32,1.22,1.41,1.8,1.75,1.85
Gemini-2.0-Flash,S4,2.73,2.68,2.78,4.87,4.83,4.91,2.04,1.99,2.09,1.34,1.25,1.43,1.88,1.84,1.92
Claude-3.5-Haiku,S1,2.16,2.08,2.24,4.39,4.32,4.45,0.97,0.93,1.02,1.11,1.01,1.22,1.43,1.36,1.5
Claude-3.5-Haiku,S2,2.42,2.35,2.49,4.84,4.78,4.88,1.19,1.13,1.25,1.27,1.17,1.37,1.75,1.69,1.8
Claude-3.5-Haiku,S3,2.67,2.6,2.75,4.69,4.61,4.76,1.46,1.36,1.56,1.29,1.19,1.39,1.8,1.75,1.85
Claude-3.5-Haiku,S4,2.85,2.81,2.89,4.92,4.87,4.96,1.76,1.67,1.86,1.42,1.33,1.51,1.9,1.86,1.94
Llama-3.1-8B,S1,2.71,2.65,2.78,3.03,2.84,3.21,1.76,1.66,1.86,0.92,0.83,1.02,1.83,1.78,1.88
Llama-3.1-8B,S2,2.3,2.24,2.36,4.85,4.8,4.9,1.69,1.63,1.74,1.04,0.94,1.15,1.64,1.57,1.7
Llama-3.1-8B,S3,2.73,2.68,2.79,3.52,3.34,3.69,2.04,1.92,2.16,1.1,1.0,1.2,1.86,1.81,1.9
Llama-3.1-8B,S4,2.88,2.85,2.92,3.7,3.51,3.88,2.23,2.13,2.32,1.04,0.94,1.14,1.91,1.88,1.95
